Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDN40,OUT045,3023.9208088755186
FDB35,OUT027,1874.4305113577939
FDA22,OUT017,1447.386807443194
NCL06,OUT046,3784.998292462151
FDI35,OUT013,2748.788693897837
NCW42,OUT045,4134.962510100331
NCX06,OUT049,2840.05636068039
FDC37,OUT027,2123.8195407716867
FDZ14,OUT018,1551.9422018383648
DRG49,OUT049,3817.0874624573607
NCG06,OUT045,4683.838360793098
DRC36,OUT045,3430.1622776996537
FDV21,OUT019,790.526122476811
FDB53,OUT046,1976.5437737312677
DRP47,OUT019,2811.795310241989
FDA14,OUT013,2179.616026547168
DRC24,OUT035,1424.1707746269985
FDW21,OUT018,1225.3782389838616
NCH29,OUT046,1204.8380377837202
FDU58,OUT013,2903.5526637214316
FDY27,OUT017,1651.686083634666
FDV56,OUT035,790.5058152721122
FDT59,OUT046,3306.91648699751
FDB23,OUT046,3290.4296329230438
FDR49,OUT045,1345.674243102685
FDB03,OUT010,3492.3550684680904
FDN39,OUT045,3337.0914733774134
FDX02,OUT027,3909.0297960030166
FDQ16,OUT027,2121.8333826098533
FDU35,OUT018,1131.1483414011636
NCT29,OUT013,1813.8948974838859
FDZ27,OUT046,448.02154954730395
FDN57,OUT017,1083.9017678991713
FDA03,OUT018,1935.8894863871883
FDZ36,OUT045,3595.990452259961
NCU05,OUT013,1174.9488905589478
FDT39,OUT018,2013.766066285647
FDK60,OUT017,437.4495686829796
FDZ25,OUT017,1588.4136044908828
FDG12,OUT046,1652.4579123804851
DRB01,OUT019,1887.8177710841665
NCC43,OUT027,4306.7979429949355
FDX13,OUT019,2803.9449136554867
FDM22,OUT049,887.2732158807357
FDJ03,OUT027,1223.3824952418163
FDU14,OUT018,3531.4727694443136
FDB33,OUT010,2243.793202410214
FDP27,OUT046,2630.772998290173
FDO38,OUT010,917.5430375001961
FDE28,OUT027,4052.814715594064
FDO27,OUT035,491.40610924122484
DRL23,OUT027,2119.2547948394476
FDS28,OUT046,591.4237968231992
FDX24,OUT013,1364.6165206164442
FDZ02,OUT035,566.519779515942
FDL46,OUT045,2506.6056568961612
FDS60,OUT027,3235.6690653596506
NCO06,OUT017,0.0
FDO16,OUT035,342.215672773842
FDC60,OUT049,1376.2739106584268
FDA48,OUT018,3011.7202717432374
FDZ36,OUT027,3388.276818366792
FDK27,OUT045,2565.7955036035255
FDW23,OUT018,181.9712143139368
FDM14,OUT018,1338.7178043013446
FDM14,OUT013,1619.920815338548
FDW60,OUT018,2426.0005402504903
FDE21,OUT013,1742.4027480781606
NCM42,OUT035,724.5665244849497
FDY59,OUT010,1198.2726837864193
DRI49,OUT049,1222.4495429074723
FDT28,OUT019,1283.7218375950852
FDQ22,OUT018,236.35714043614644
FDR60,OUT049,1169.841738270943
FDC50,OUT019,352.96336780489764
FDV24,OUT013,2247.594508268585
DRF48,OUT010,2689.4806456273636
FDQ47,OUT046,251.70584485606014
DRN36,OUT049,1530.0456919297176
NCY06,OUT035,1028.0239123314586
FDE52,OUT035,470.05466313592297
NCB54,OUT045,2642.238899304408
NCF31,OUT035,1395.011549348057
FDJ08,OUT027,3357.0921394953893
NCC07,OUT017,563.3403353066115
NCD19,OUT027,1269.854630896045
FDL46,OUT049,1897.2350437876084
FDM20,OUT045,4511.13837628903
NCI06,OUT010,2543.357423150106
DRM11,OUT035,3050.1785679606455
NCH07,OUT018,2059.038562548594
FDS23,OUT013,1882.020686147558
FDO49,OUT018,419.6846388971935
FDS35,OUT049,992.7211439691837
DRK39,OUT045,1945.8533643732117
DRI39,OUT049,897.981166051628
FDV04,OUT017,1347.1100818916984
NCN14,OUT035,1864.9416933342345
FDH08,OUT013,3524.2768223106123
FDS20,OUT046,2540.160094730829
FDV40,OUT049,1205.8301235942
FDZ48,OUT010,1444.7871562466335
FDS24,OUT027,1847.4195197004938
FDK44,OUT049,2704.7746461734314
FDS48,OUT045,3042.4145953857023
FDK26,OUT010,2691.60855009234
FDD23,OUT045,3654.3455704423795
NCH54,OUT017,1396.2537609811534
NCP14,OUT010,1340.3475563003467
FDM60,OUT010,388.1857492366289
FDV24,OUT017,1209.6721381865154
FDH08,OUT018,3177.507592933878
FDS12,OUT027,2357.1731381940535
FDR39,OUT027,3242.711472336123
FDP12,OUT027,1036.4387403781584
DRF60,OUT027,4109.099413225087
FDC09,OUT035,686.939512663279
FDF50,OUT018,2659.406136516105
FDG28,OUT035,2869.403581991779
NCE19,OUT017,0.0
NCM53,OUT010,1426.8913633123284
NCN18,OUT049,1750.8299303046151
FDF32,OUT035,2128.406294671893
FDF11,OUT013,3707.398926222115
DRI59,OUT049,3518.487271943928
NCG54,OUT035,1653.0068683471018
FDM44,OUT046,1282.3137057167642
FDT57,OUT018,3307.2575397706114
FDV24,OUT046,2016.943872982596
FDI50,OUT019,2540.9921519708932
FDS09,OUT035,0.0
NCC31,OUT027,2839.331230488797
FDQ07,OUT019,2375.5408680120836
FDC22,OUT017,1879.3973970114293
FDZ56,OUT046,2352.202226122781
FDZ40,OUT019,0.0
FDS46,OUT027,2328.599571042305
DRD24,OUT045,2873.3860727489173
FDV45,OUT017,1845.665476605236
FDL26,OUT045,3100.666645755893
FDA56,OUT018,1533.5113546094344
FDN27,OUT046,1556.5317482072387
FDM20,OUT049,3829.4664573606733
FDO16,OUT017,177.07528777289735
FDL03,OUT035,2143.436502022332
FDE58,OUT046,1528.6890847661598
FDI02,OUT027,2201.237305004219
NCC55,OUT019,0.0
FDR03,OUT018,2885.290507274538
FDB14,OUT017,369.1405061284331
FDR45,OUT013,3679.0462788672467
NCN07,OUT017,930.6666602176265
FDM51,OUT019,590.947938043153
FDT52,OUT027,4288.68799827884
FDL26,OUT046,2101.00209069246
NCZ42,OUT046,3433.3302089372064
DRI47,OUT019,1228.8757065055142
FDW40,OUT013,2144.5593818639336
FDN34,OUT046,2407.2538494411783
FDS01,OUT035,1815.9403268856386
NCG55,OUT045,2493.643608644137
FDC11,OUT035,361.90757602459234
FDX35,OUT018,3157.26105853809
NCB06,OUT046,2191.60692263666
FDR09,OUT019,2978.3797225503204
FDC53,OUT017,406.02462331577044
FDY45,OUT013,3927.067888089103
FDA22,OUT010,2324.1385915066294
FDE02,OUT035,470.79383411723575
FDW21,OUT045,2294.400891185878
FDV34,OUT046,900.8980769711725
FDS59,OUT049,1763.540682931518
NCW17,OUT017,902.5336524141876
NCK54,OUT046,1529.153996361014
FDG17,OUT019,2790.63718246644
FDG35,OUT017,1669.5088616220091
FDD08,OUT010,320.1453046758961
NCO07,OUT017,2189.174591249055
FDJ10,OUT010,1926.8826110707614
FDW36,OUT017,501.92252210685365
FDW21,OUT010,1372.9859810527669
FDY19,OUT017,742.9254138097021
DRE03,OUT013,671.8172582902735
NCC55,OUT049,592.0098161094029
FDH52,OUT010,766.3318134390356
FDO09,OUT017,3032.9988716651733
FDU43,OUT045,4463.072107781921
FDX09,OUT010,2442.1548095409435
FDH40,OUT019,253.50790400235564
FDW58,OUT017,546.8135539937921
FDC47,OUT017,2406.620315297043
NCR41,OUT035,517.1215522421426
DRG49,OUT035,2824.3841081834817
FDC52,OUT027,2861.4478016915327
FDY13,OUT046,863.1176644428342
FDY35,OUT013,671.8488504679972
FDI35,OUT017,1726.6413361716386
NCU18,OUT049,2215.4727771089892
FDY33,OUT018,2108.48925540018
FDC15,OUT027,2839.1986996545656
FDU01,OUT049,2999.118975946316
NCU42,OUT046,2344.1902882594186
NCV29,OUT018,2385.2479235368282
NCY30,OUT017,1762.5275958095845
FDQ46,OUT049,1724.0215975633491
FDG58,OUT027,2852.1646362780593
FDK33,OUT017,2237.964699635744
NCD07,OUT045,2464.5603355302737
NCX29,OUT027,2655.6041446526506
NCT42,OUT013,2226.290590523371
DRN59,OUT035,0.0
FDI44,OUT035,239.8704155985124
FDA45,OUT049,2760.159248261816
FDP31,OUT045,1711.6838381790694
FDY01,OUT046,1486.4258620038818
FDT09,OUT018,1743.8065334260937
DRH03,OUT027,1931.7558128721012
FDA36,OUT018,2522.2271598704847
NCF31,OUT017,1270.365901163692
FDG14,OUT049,2407.6918276237902
FDG28,OUT027,4296.518039548035
FDU14,OUT049,3926.2952272781185
FDY47,OUT019,1014.7895244698575
FDI56,OUT049,1388.6466636604164
DRD01,OUT013,836.712311542613
FDM22,OUT046,619.3529437827347
FDH33,OUT013,543.4668905208946
DRZ24,OUT013,1739.316210664896
NCQ38,OUT046,1356.658396815481
FDO16,OUT027,1734.924695956408
FDU07,OUT027,2745.0576943113538
NCB07,OUT013,2950.4629126934306
FDU48,OUT045,2740.2043038456814
NCM43,OUT045,3261.804948000452
FDR31,OUT010,2018.1651883021277
DRK49,OUT018,252.77727205419978
NCI30,OUT010,3555.872134869909
DRD60,OUT017,1722.1747390615183
NCG19,OUT046,3339.736314790849
FDH12,OUT035,639.6476836347156
FDM32,OUT035,478.50957324485535
FDM27,OUT035,1459.3538727787036
NCU53,OUT027,3017.3196759063485
NCQ18,OUT046,1210.7241744591502
FDS10,OUT013,2727.8651028131444
FDB33,OUT027,2904.0562504726204
FDI12,OUT013,1274.702880005052
NCW42,OUT013,3376.847170386396
NCC06,OUT018,1631.7547578310841
FDW02,OUT017,886.0671137293502
NCD43,OUT017,518.2145348334288
FDM57,OUT018,932.919805215266
FDA58,OUT017,2552.527231060365
FDK56,OUT046,2544.0552162686945
FDP52,OUT045,4356.993851169008
FDW20,OUT018,1563.4915913128461
FDS52,OUT049,1583.8384583354746
NCT29,OUT018,1467.0311330870736
NCL54,OUT013,2656.333755110607
FDC05,OUT045,3791.6325248903704
FDF34,OUT035,2148.7075952050127
FDP03,OUT027,2393.945299276136
FDD32,OUT010,1090.1017803686627
FDZ10,OUT045,2688.9988516988033
FDZ40,OUT035,0.0
FDD51,OUT018,253.81490097878304
NCY30,OUT019,1766.1984874970221
FDP58,OUT017,2247.0063790929053
FDV49,OUT017,3014.1655088812604
FDY24,OUT019,0.0
NCO55,OUT017,539.7647818221758
FDR13,OUT017,755.483083984218
FDS51,OUT017,0.0
FDP26,OUT045,2256.8084108377407
NCB54,OUT027,2432.430851436249
FDF32,OUT017,1960.0162854086593
FDN31,OUT018,2543.200791968946
DRM48,OUT017,0.0
FDN20,OUT049,2666.5430549387675
DRL01,OUT046,3413.3306858395026
FDV56,OUT049,1748.9081489632754
DRH13,OUT027,2107.1496827756855
FDA03,OUT017,1216.851765903055
FDF47,OUT027,3912.9970975154556
FDX32,OUT046,2010.2226411420688
FDX57,OUT049,1569.3208685591762
NCA30,OUT045,3622.371955794806
FDO49,OUT013,733.7066149021102
FDL04,OUT019,539.8374860877375
DRM48,OUT035,0.0
FDR16,OUT013,3239.6288257099477
NCC19,OUT018,2579.0178970025718
NCE42,OUT045,4376.432029754126
FDY24,OUT017,0.0
FDH19,OUT049,2763.997223275752
FDJ46,OUT013,2619.194035376413
FDN45,OUT010,3198.967876570694
FDY08,OUT035,1197.0914859396853
FDZ37,OUT035,424.1328548517831
NCT30,OUT045,1388.493290890483
DRY23,OUT018,273.6651374035373
NCZ30,OUT018,1500.5530944280254
FDC44,OUT018,1326.440526618102
FDB45,OUT035,680.9711360146302
FDY04,OUT013,2521.421510282409
FDM27,OUT046,2240.0469594679635
FDZ43,OUT017,2690.7201009437576
FDT39,OUT019,1348.6368577300473
NCC06,OUT019,937.9347848595262
FDL15,OUT027,2830.857657182436
FDL57,OUT017,2948.413884790203
FDU08,OUT046,1237.6331430885803
FDK40,OUT017,3006.59666831671
FDQ12,OUT010,3313.556467232169
FDS48,OUT017,1256.904858146825
FDP09,OUT045,3998.9093733557074
FDW21,OUT049,1603.3571815387786
FDY25,OUT035,1852.5951684822412
DRE13,OUT017,215.42131027159303
FDV43,OUT019,0.0
FDD22,OUT045,2387.135693245433
FDM46,OUT019,288.78243634337196
NCO30,OUT010,2651.123584938885
FDM25,OUT046,2444.0841319654774
NCN41,OUT049,1930.6036339846141
FDU24,OUT045,2124.1740848619083
FDZ50,OUT046,2596.3911839493885
FDP45,OUT013,3900.044700503013
NCM54,OUT045,2646.819360303456
FDW10,OUT019,1669.1665407803212
FDP20,OUT017,895.1604813009453
FDK32,OUT046,2105.040168857062
FDN52,OUT049,1382.4604267004343
FDM58,OUT045,2478.1287436937964
FDZ46,OUT027,2134.812013427734
NCA18,OUT018,1423.6121260445034
FDD35,OUT046,1602.9184604117509
NCK31,OUT035,0.0
FDI40,OUT027,2006.3813496236926
FDT50,OUT019,451.789866920828
NCT06,OUT046,2277.215455793579
FDT31,OUT035,1982.109213431815
FDT45,OUT049,837.1641976940064
FDT13,OUT045,3606.2445745685345
FDO50,OUT045,2083.5749763416625
NCU18,OUT010,1926.556712559708
NCR54,OUT049,3041.080738208586
NCO18,OUT018,2396.416113372765
FDU09,OUT045,1578.5731003168075
FDT13,OUT018,2546.5766738463535
FDE09,OUT046,1448.119949767246
NCK53,OUT019,516.2387964715417
FDG45,OUT049,3346.6861385205175
DRH15,OUT035,0.0
FDO21,OUT019,2503.006303664848
FDD14,OUT027,3264.192078690032
FDC09,OUT046,1358.5212199298821
FDH45,OUT027,1127.6649243739812
FDV32,OUT046,682.2428831852103
FDG12,OUT035,934.0476577090758
FDS32,OUT013,2167.21723247304
NCL55,OUT018,3516.3907975196125
DRE01,OUT035,2768.874422066341
DRE15,OUT049,1221.9231711683206
NCL42,OUT045,4539.658578932956
FDP31,OUT013,930.2766588171853
FDN33,OUT018,1067.9428206141147
FDZ59,OUT046,2279.251161296361
FDE45,OUT010,2516.14942873415
FDJ07,OUT013,1766.128550022193
FDQ45,OUT018,2539.6135217998053
FDM33,OUT027,3833.8575691784845
FDO15,OUT010,993.2296952300312
FDM46,OUT013,1301.9761924526156
FDR03,OUT045,3949.6328012403046
FDY49,OUT018,2272.092227441446
FDQ60,OUT045,2533.7986200642918
FDW10,OUT049,2791.5266403393416
FDO51,OUT049,741.683809825252
FDJ40,OUT018,1350.208796814999
FDS20,OUT018,2437.9988351078664
FDU45,OUT013,1727.8703223544926
FDV02,OUT035,1668.1858079796893
FDN09,OUT046,3482.908625599808
NCM55,OUT027,3335.3860921218366
FDN23,OUT018,1885.8181735389007
FDY31,OUT010,1984.7957976909966
FDW03,OUT010,1442.3458122215143
FDD14,OUT046,2520.9037942356154
FDV23,OUT017,819.1531710692161
DRI03,OUT045,3409.628904713085
FDN13,OUT035,540.1163409510973
FDF45,OUT027,1429.636818138857
FDU46,OUT035,444.8796751005375
FDB57,OUT049,3551.4698196524023
FDV12,OUT049,1636.7041976132514
FDQ58,OUT013,2276.5809971383333
NCA18,OUT017,685.8366755949264
FDH52,OUT049,1024.820734000079
FDM24,OUT018,1969.1309458664691
NCP43,OUT027,3268.067881417048
NCO18,OUT019,1704.876903167571
FDM32,OUT017,333.6476189902969
NCL07,OUT017,0.0
FDK03,OUT013,3903.8484979438435
FDP59,OUT017,540.1487863167331
FDQ24,OUT049,3944.5520327427166
FDQ16,OUT018,1329.7308338950006
FDU44,OUT013,2464.3016321376217
FDH28,OUT010,343.05855946310294
FDV28,OUT019,0.0
FDM22,OUT045,1562.7008973577704
FDR56,OUT046,2784.7822673394585
FDV39,OUT049,3092.9951692060476
FDU37,OUT019,189.97406077335654
FDQ11,OUT010,3800.278442440038
FDX02,OUT045,4160.962259344749
NCS42,OUT018,1032.2872475813529
FDY57,OUT027,1918.9128360178856
FDB21,OUT049,3730.442021875222
FDE28,OUT017,2478.847332744601
FDQ55,OUT017,716.555392770586
FDA48,OUT049,3452.2484418509102
FDZ19,OUT045,3360.3251973406805
NCC43,OUT045,4580.4816843180315
NCV18,OUT046,936.8930392054317
NCA42,OUT018,2083.2877011335295
FDY45,OUT046,3712.1964986172534
NCC30,OUT045,3476.475198927452
FDM57,OUT013,1281.3682408514105
FDL09,OUT010,2337.703416309654
FDB09,OUT027,2374.441256095617
FDT44,OUT035,861.1325727575877
NCT06,OUT027,2999.9500331397776
FDX26,OUT049,2860.869240162716
FDK32,OUT013,2357.524746602692
DRA12,OUT046,1924.55645856324
FDO46,OUT010,2726.882308776703
FDE52,OUT013,1317.6300300948824
NCH42,OUT045,4256.1380197105855
FDV08,OUT035,0.0
FDB47,OUT018,2874.4199272657897
FDC28,OUT010,1440.2142084240004
FDD22,OUT046,1442.124773379739
FDS07,OUT027,2200.5566141243344
DRI13,OUT045,4072.0707081345136
FDG32,OUT018,3044.2086190277423
FDU14,OUT017,2805.8421348201373
FDD28,OUT019,0.0
NCP41,OUT017,614.9394615689853
FDS08,OUT049,2721.5709404486606
FDX47,OUT045,3169.762303830601
FDC53,OUT019,521.1024996840715
FDQ19,OUT035,2837.0251520031397
FDL14,OUT045,3132.6557408486296
FDM33,OUT019,2361.821853925443
FDA51,OUT045,2427.6741772955993
FDZ27,OUT018,366.213716934215
FDT04,OUT046,321.56066467652454
DRC13,OUT049,1999.6620519527332
FDR16,OUT027,3786.476149338474
FDQ03,OUT027,4150.516521116331
FDE38,OUT035,1630.0384116039222
DRH23,OUT027,1267.6244324814888
FDT11,OUT019,1911.7642400522327
FDD09,OUT035,1838.728207512997
FDR40,OUT045,2009.3716186526817
FDX07,OUT017,1818.8780159706712
FDR07,OUT035,539.6735992449594
FDA51,OUT017,658.1326841540558
FDT59,OUT019,2551.8748468780577
FDF20,OUT017,1935.6267208957997
FDR13,OUT045,2512.3337407757754
FDY26,OUT049,3357.598926714114
FDW04,OUT017,947.4343595580394
FDK52,OUT017,2423.564269974573
FDN60,OUT049,2444.4467885768645
FDM09,OUT019,1617.307698716466
FDP46,OUT049,1372.0618921127934
FDB50,OUT019,93.09343818886009
NCQ29,OUT049,4021.7617122081774
FDP16,OUT027,4268.383886104391
FDX33,OUT018,2131.129880675915
FDP07,OUT010,2822.6482120763612
FDN22,OUT046,3635.605814033346
FDF39,OUT049,4162.685297721087
FDS21,OUT017,0.0
NCM42,OUT013,1583.0677730105199
FDK50,OUT019,1489.7904309638398
DRF13,OUT027,2723.520236654682
FDH35,OUT018,2167.844395090211
FDP60,OUT018,1161.9222280956928
DRJ49,OUT027,2458.2031688611623
NCT42,OUT019,1251.8911612540287
FDE38,OUT049,2613.392815508134
FDI04,OUT049,3146.149339006699
NCH54,OUT045,3125.074051096377
FDT56,OUT049,952.0883557789166
DRD15,OUT018,3222.6500817050255
FDV58,OUT013,2975.158321075276
FDP21,OUT049,2973.506570150117
FDH05,OUT013,3581.1435830506034
FDR10,OUT027,2970.0873904613745
NCP06,OUT045,3020.5300547257357
FDF33,OUT049,1670.0182458237487
DRK37,OUT013,2859.4672505332037
DRH49,OUT045,2017.519454479214
FDT58,OUT013,2505.794602691185
FDD41,OUT018,1252.0482521683443
FDP40,OUT018,1363.823280028506
FDM51,OUT027,2065.5591430410877
FDO45,OUT010,1132.8520055733006
FDW33,OUT010,1350.1415533812324
FDY24,OUT045,1566.964417932506
FDB10,OUT010,3418.5974317501077
FDM40,OUT035,1182.478556152715
NCI06,OUT017,1704.8617697708396
FDW12,OUT019,1221.6805669248242
FDX48,OUT027,2902.263813778378
NCW05,OUT027,2068.3049702420576
FDX27,OUT017,404.77720550082813
DRM37,OUT045,3749.122411773942
FDA38,OUT045,4435.233194670348
FDR36,OUT046,324.08654871096223
FDZ45,OUT046,2791.012158177389
FDG05,OUT017,1385.697918599626
FDK28,OUT013,3929.6605600849125
FDV47,OUT045,2013.5548630578123
FDN21,OUT045,3174.0601821404416
FDP20,OUT027,2423.485247833407
FDI35,OUT045,3511.6070138247014
DRY23,OUT013,606.5719058304185
FDA56,OUT017,809.8149145707448
FDB09,OUT013,1840.159967135256
NCO26,OUT027,2233.033664587154
FDQ49,OUT018,2112.641879251636
FDI52,OUT027,2322.2281887312565
FDZ44,OUT027,2252.5462375887964
FDZ09,OUT018,2154.8944883143195
FDY03,OUT049,1817.3708308845416
NCG42,OUT017,927.4461466125122
DRI13,OUT027,3843.447557122012
FDQ32,OUT013,1933.3803612320626
FDW16,OUT035,500.725456428956
FDU27,OUT046,435.10063931888726
FDR28,OUT010,2335.5854179576363
FDQ49,OUT010,2265.6579567990866
FDS37,OUT046,1503.0208401141517
FDW26,OUT018,3066.292829182479
FDX12,OUT018,3434.1688986486333
NCP06,OUT013,2285.8055124432467
FDW45,OUT010,2012.2247783120547
NCN30,OUT049,1501.7006629589214
FDN24,OUT049,810.7220986013199
NCL41,OUT027,937.7388343634393
FDR02,OUT019,667.9661503281568
FDD09,OUT010,2572.3707179278153
FDS33,OUT010,1149.4133123248885
FDU22,OUT045,2516.861608446983
FDI53,OUT013,2454.6374624568325
DRH01,OUT049,2738.3850169475827
FDX32,OUT013,2176.8752197142494
NCP30,OUT018,245.31257076866677
FDB60,OUT045,3728.8741962897
FDB14,OUT049,1503.7567826806408
NCP02,OUT035,0.0
FDJ10,OUT017,1075.0435836836205
FDG34,OUT046,1483.4454391685103
NCB18,OUT017,271.35571342438743
FDM16,OUT049,1210.1618508761658
FDW25,OUT018,906.5285448130962
FDB35,OUT010,1189.2231393598104
DRN11,OUT013,2093.532381299463
FDF41,OUT019,2746.364687220761
FDH16,OUT045,2039.635098036164
NCQ50,OUT018,2937.658306657917
DRH23,OUT018,448.51333987784164
DRJ37,OUT013,2276.2726824120036
DRJ24,OUT027,3279.4006582255224
FDY16,OUT035,1924.6614677107482
FDQ27,OUT045,2346.3847656241887
FDZ33,OUT045,2959.541169459284
FDF29,OUT045,2783.072292415598
FDA08,OUT049,2598.2210945138977
FDG31,OUT046,729.1677844813312
FDE34,OUT019,1822.8381888382282
NCR30,OUT027,1580.473876152395
FDV33,OUT035,3100.9503559116
DRZ24,OUT018,1490.3131380539435
NCL54,OUT035,1715.0903771990506
FDR12,OUT049,2759.087226667949
NCC54,OUT046,3458.1060524473523
DRN59,OUT013,654.9169022968999
FDX50,OUT019,649.4250920579816
FDV31,OUT027,3179.1345717168497
NCA29,OUT027,3125.2700030073775
FDW60,OUT049,2813.3564203427322
FDX08,OUT017,1742.6581112905897
DRD49,OUT013,3550.3433072725984
FDD33,OUT046,3278.1959638364788
FDW35,OUT013,584.8868644115792
FDJ36,OUT017,508.77308704617644
FDV51,OUT035,1631.7496252233086
FDW36,OUT046,1348.1085446217057
FDH35,OUT046,2277.8208839625167
NCS30,OUT027,2436.484172124954
FDN49,OUT017,0.0
FDL08,OUT018,3439.027345725055
FDI09,OUT013,3691.1773888116204
FDP19,OUT018,1569.8227699029412
FDU21,OUT010,271.0888973053152
NCP41,OUT045,2370.2104808319764
FDY10,OUT013,1680.8946532228856
FDP12,OUT018,213.10521314987454
NCN26,OUT049,1822.6861498493563
FDK44,OUT013,2614.342086157105
FDC28,OUT049,1697.6755341689277
FDJ41,OUT027,4531.989604348806
NCT29,OUT035,942.8969514474429
NCH42,OUT019,2495.007912572406
FDU60,OUT018,2268.381360872456
FDS02,OUT045,3687.100237191582
FDC51,OUT046,1674.185241284138
FDU03,OUT013,2806.0021265714386
FDX39,OUT045,4024.6515890327664
NCY05,OUT010,298.2519862991521
NCL06,OUT027,4475.0206030793215
FDD32,OUT035,347.54231474363587
NCN41,OUT045,2591.9812160698784
NCX53,OUT049,2242.862786462747
FDU57,OUT019,1281.3280304237214
FDQ23,OUT046,1314.875913033673
FDQ52,OUT045,4535.148884053849
FDC14,OUT045,1349.80568321186
FDY09,OUT035,1796.0251502377196
FDQ28,OUT045,3156.5692408638715
FDV25,OUT046,3131.3816460538383
FDJ07,OUT035,838.9514083555714
DRB25,OUT049,1652.6800542389465
FDK52,OUT019,2438.945463208769
FDY52,OUT027,1414.003922422311
FDB28,OUT046,2750.8439691569165
FDT36,OUT035,0.0
FDV25,OUT017,2339.853449092472
NCN07,OUT027,2476.1105085477393
FDC57,OUT017,1960.1948789714224
FDQ03,OUT018,3337.988760729706
FDU23,OUT017,1502.6735605713493
NCX41,OUT035,2364.6387854503755
NCD06,OUT035,0.0
FDW08,OUT045,2292.4911164682926
NCU29,OUT017,1148.6146420855075
NCE06,OUT013,2396.1746483308016
FDV52,OUT010,1582.019323859995
FDB02,OUT017,1691.2702420885907
NCR18,OUT045,1356.3660329841987
FDK16,OUT049,1492.9004634890862
NCQ29,OUT010,3727.221786825443
FDZ01,OUT019,617.0226321408354
FDW27,OUT035,1464.8508048128515
FDD17,OUT018,3313.0689473261446
FDW39,OUT013,2712.3139135402434
DRH59,OUT045,1795.128968201845
FDS52,OUT013,1512.021655123859
FDU40,OUT027,3490.897702063541
NCF54,OUT013,2634.880963455249
FDH46,OUT045,2313.9844532954958
NCP14,OUT049,1589.7420525223188
FDH50,OUT049,2969.4363423426894
DRF15,OUT010,2146.3247625199438
FDV27,OUT027,1830.6438435168038
NCJ06,OUT049,1901.6595558511635
FDN02,OUT018,2806.855973922484
FDQ51,OUT049,790.4426752578984
FDQ07,OUT017,2397.018316204674
FDS45,OUT049,1688.9430177909799
NCJ06,OUT045,2580.210463602323
FDD36,OUT035,863.1108518515775
FDY25,OUT045,3523.8736644767887
FDU52,OUT046,2095.5478594378455
DRK47,OUT017,2412.84632390536
NCL30,OUT017,898.7919746328316
FDN22,OUT035,2974.9591467643095
NCF30,OUT027,2369.9219505180135
FDK03,OUT035,3057.8223408588256
FDT45,OUT017,0.0
NCC54,OUT027,4152.86232491271
FDP08,OUT018,2688.2762048227887
FDU44,OUT046,2283.6151896865777
DRG39,OUT035,0.0
FDU32,OUT049,1911.3818628355966
FDY27,OUT049,2800.931449936559
